Date,High,Low,Open,Close,Volume,Adj Close
2020-02-09,3341.419921875,3322.1201171875,3335.5400390625,3327.7099609375,3730650000.0,3327.7099609375
2016-09-01,2173.56005859375,2157.090087890625,2171.330078125,2170.860107421875,3392120000.0,2170.860107421875
2020-11-16,3628.510009765625,3600.159912109375,3600.159912109375,3626.909912109375,5281980000.0,3626.909912109375
2018-08-10,2842.199951171875,2825.81005859375,2838.89990234375,2833.280029296875,3256040000.0,2833.280029296875
2016-05-13,2066.7900390625,2043.1300048828125,2062.5,2046.6099853515625,3579880000.0,2046.6099853515625
2019-05-15,2858.679931640625,2815.080078125,2820.3798828125,2850.9599609375,3125950000.0,2850.9599609375
2017-04-28,2393.679931640625,2382.360107421875,2393.679931640625,2384.199951171875,3718270000.0,2384.199951171875
2017-04-30,2393.679931640625,2382.360107421875,2393.679931640625,2384.199951171875,3718270000.0,2384.199951171875
2016-11-17,2188.06005859375,2176.64990234375,2178.610107421875,2187.1201171875,3809160000.0,2187.1201171875
2020-01-04,3246.14990234375,3222.340087890625,3226.360107421875,3234.85009765625,3461290000.0,3234.85009765625
2016-09-25,2173.75,2163.969970703125,2173.2900390625,2164.68994140625,3317190000.0,2164.68994140625
2016-03-16,2032.02001953125,2010.0400390625,2014.239990234375,2027.219970703125,4057020000.0,2027.219970703125
2018-02-10,2638.669921875,2532.68994140625,2601.780029296875,2619.550048828125,5680070000.0,2619.550048828125
2015-12-30,2077.340087890625,2061.969970703125,2077.340087890625,2063.360107421875,2367430000.0,2063.360107421875
2016-12-20,2272.56005859375,2266.139892578125,2266.5,2270.760009765625,3298780000.0,2270.760009765625
2018-10-12,2775.77001953125,2729.43994140625,2770.5400390625,2767.1298828125,3966040000.0,2767.1298828125
2017-10-24,2572.179931640625,2565.580078125,2568.659912109375,2569.1298828125,3427330000.0,2569.1298828125
2018-01-13,2787.85009765625,2769.639892578125,2770.179931640625,2786.239990234375,3573970000.0,2786.239990234375
2020-09-29,3357.919921875,3327.5400390625,3350.919921875,3335.469970703125,3651880000.0,3335.469970703125
2017-05-05,2399.2900390625,2389.3798828125,2392.3701171875,2399.2900390625,3540140000.0,2399.2900390625
2020-04-28,2921.14990234375,2860.7099609375,2909.9599609375,2863.389892578125,5672880000.0,2863.389892578125
2016-08-27,2187.93994140625,2160.389892578125,2175.10009765625,2169.0400390625,3342340000.0,2169.0400390625
2019-09-12,3020.739990234375,3000.919921875,3009.080078125,3009.570068359375,3791860000.0,3009.570068359375
2019-09-02,2940.429931640625,2913.320068359375,2937.090087890625,2926.4599609375,3008450000.0,2926.4599609375
2020-08-27,3501.3798828125,3468.35009765625,3485.139892578125,3484.550048828125,3929560000.0,3484.550048828125
2020-03-02,3090.9599609375,2945.18994140625,2974.280029296875,3090.22998046875,6376400000.0,3090.22998046875
2016-09-04,2184.8701171875,2173.590087890625,2177.489990234375,2179.97998046875,3091120000.0,2179.97998046875
2019-01-02,2519.489990234375,2467.469970703125,2476.9599609375,2510.030029296875,3733160000.0,2510.030029296875
2016-07-09,2131.7099609375,2106.969970703125,2106.969970703125,2129.89990234375,3607500000.0,2129.89990234375
2018-05-09,2701.27001953125,2674.139892578125,2678.1201171875,2697.7900390625,3909500000.0,2697.7900390625
2015-12-03,2085.0,2042.3499755859373,2080.7099609375,2049.6201171875,4306490000.0,2049.6201171875
2019-05-23,2836.699951171875,2805.489990234375,2836.699951171875,2822.239990234375,3891980000.0,2822.239990234375
2018-05-18,2719.5,2709.179931640625,2717.35009765625,2712.969970703125,3368690000.0,2712.969970703125
2020-11-15,3593.659912109375,3552.570068359375,3552.570068359375,3585.14990234375,4709670000.0,3585.14990234375
2016-12-01,2202.60009765625,2187.43994140625,2200.169921875,2191.080078125,5063740000.0,2191.080078125
2018-05-04,2670.929931640625,2615.320068359375,2621.449951171875,2663.419921875,3327220000.0,2663.419921875
2017-06-22,2441.6201171875,2433.27001953125,2437.39990234375,2434.5,3468210000.0,2434.5
2019-12-08,3150.60009765625,3134.6201171875,3134.6201171875,3145.909912109375,3479480000.0,3145.909912109375
2018-01-25,2848.56005859375,2830.93994140625,2846.239990234375,2839.25,3835150000.0,2839.25
2019-11-01,3066.949951171875,3050.719970703125,3050.719970703125,3066.909912109375,3930200000.0,3066.909912109375
2015-12-22,2042.739990234375,2020.489990234375,2023.1500244140625,2038.969970703125,3520860000.0,2038.969970703125
2016-07-23,2175.110107421875,2163.239990234375,2166.469970703125,2175.030029296875,3023280000.0,2175.030029296875
2018-06-09,2779.389892578125,2763.590087890625,2765.840087890625,2779.030029296875,3123210000.0,2779.030029296875
2016-01-18,1916.6800537109373,1857.8299560546875,1916.6800537109373,1880.3299560546875,5468460000.0,1880.3299560546875
2017-08-19,2440.27001953125,2420.68994140625,2427.639892578125,2425.550048828125,3415680000.0,2425.550048828125
2020-01-21,3329.7900390625,3316.610107421875,3321.030029296875,3320.7900390625,4105340000.0,3320.7900390625
2019-01-22,2657.8798828125,2617.27001953125,2657.8798828125,2632.89990234375,3908030000.0,2632.89990234375
2017-12-20,2691.010009765625,2676.110107421875,2688.179931640625,2679.25,3241030000.0,2679.25
2020-06-24,3115.010009765625,3032.1298828125,3114.39990234375,3050.330078125,5587200000.0,3050.330078125
2018-03-21,2739.139892578125,2709.7900390625,2714.989990234375,2711.929931640625,3415510000.0,2711.929931640625
2017-12-19,2694.43994140625,2680.739990234375,2692.7099609375,2681.469970703125,3368590000.0,2681.469970703125
2017-11-13,2587.659912109375,2574.47998046875,2576.530029296875,2584.840087890625,3402930000.0,2584.840087890625
